id,collectible,slug,classId,multiClassIds,spellSchoolId,cardTypeId,cardSetId,rarityId,artistName,manaCost,name,text,image,imageGold,flavorText,cropImage,childIds,keywordIds,isZilliaxFunctionalModule,isZilliaxCosmeticModule,copyOfCardId,health,attack,minionTypeId,multiTypeIds,runeCost,armor,parentId,bannedFromSideboard,touristClassId,factionId,deckSizeMod,bundledCardIds,maxSideboardCards,className
97380,1,97380-absorbent-parasite,3.0,[],,4,1858,4,Slawomir Maniak,2,Absorbent Parasite,"<b>Magnetic</b>, <b>Rush</b> Can <b>Magnetize</b> to Mechs and Beasts.",https://d15f34w2p8l1cc.cloudfront.net/hearthstone/2f10001e14ce9420426023e37bc473315231a2df8fb8e33bcf702ca5c0eeeb3d.png,,"Your beasts' iron levels are high, what have you been feeding them?",https://d15f34w2p8l1cc.cloudfront.net/hearthstone/79d3f6d659f01754ab9ff7bd957e6bff5bcb4a5093ad54a8f9f5e9acdb8f7801.png,,"[53, 66]",False,False,,1.0,3.0,,,,,,,,,,,,hunter
242,1,242-abusive-sergeant,12.0,[],,4,3,1,Luca Zontini,1,Abusive Sergeant,<b>Battlecry:</b> Give a minion +2 Attack this turn.,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/8cc6f521dac86c945f12424cf0a4c4b78d73157d4797e3169c3cc8dbe2fbb9d1.png,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/2866f600b26992ef766b00d90a97c372f99cd7bb9c04d7a0391c798ddfeb75fd.png,"ADD ME TO YOUR DECK, MAGGOT!",https://d15f34w2p8l1cc.cloudfront.net/hearthstone/c10df6994599819f7a22e8ffc9a3779ecfc0f76d5c499e4c299aae5c7fa9bcc8.png,,[8],False,False,"[69649, 69761]",1.0,1.0,,,,,,,,,,,,neutral
69649,1,69649-abusive-sergeant,12.0,[],,4,1637,1,Luca Zontini,1,Abusive Sergeant,<b>Battlecry:</b> Give a minion +2 Attack this turn.,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/245f2a5adb10dee494583836b8946372063602e47338ca0e4ebb544aeef13c2d.png,,"ADD ME TO YOUR DECK, MAGGOT!",https://d15f34w2p8l1cc.cloudfront.net/hearthstone/a524a02593ac5e880645a6bec7e3e70dfea4ba40644d422bb1d2591460d9a74d.png,,[8],False,False,"[242, 69761]",1.0,1.0,,,,,,,,,,,,neutral
94819,1,94819-abyssal-bassist,14.0,"[10, 14]",,4,1809,1,Jaemin Kim,7,Abyssal Bassist,"<b>Taunt</b>, <b>Lifesteal</b> Costs (2) less for each weapon you've equipped this game.",https://d15f34w2p8l1cc.cloudfront.net/hearthstone/9c889a2f535d2ab958bbfecbc8934f643a2e1bc91e7c38549e9be1c12701cabb.png,,DROP THE BASS (INTO THE ABYSS)!,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/130ce634f431b906433bedf6b101eee93fd2ac39d08d0d754623f293d9337355.png,,"[1, 38]",False,False,,7.0,4.0,15.0,,,,,,,,,,,demonhunter
71922,1,71922-abyssal-depths,14.0,[],6.0,5,1658,1,BOSi Studio,3,Abyssal Depths,Draw your two lowest Cost minions.,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/4fb34d3319764907659372f3e94c5ab43c28be96b7f207b8a0a8ac1f04b8ea4a.png,,*Happy Wisp noises*,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/d1a6966ec76e3705ebd0514f0af645a71e791da181da34e86d0eaefd15889de8.png,,,False,False,,,,,,,,,,,,,,,demonhunter
40541,1,40541-abyssal-enforcer,9.0,[],,4,25,1,Luke Mancini,7,Abyssal Enforcer,<b>Battlecry:</b> Deal 3 damage to all other characters.,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/2a66c5997e5af76f70e5e3c21c9b958e3210d4451e468fe15e4fac0cf48db8de.png,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/b95fdd72dc8effb40282e903ffbeecb37704005a3dd3d2434b2b8284f389872d.png,The Kabal print this on every package of illicit Mana Crystals: WARNING - DO NOT PUT WITHIN REACH OF ABYSSALS. THIS IS NOT APPROVED FOR USE BY FLAMING DEMONS OF ANY KIND.,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/0cc8a36f554190360e32456cfb298923ac3d7684473fc9cd55610d829bec1352.png,,[8],False,False,"[75964, 76283]",6.0,6.0,15.0,,,,,,,,,,,warlock
54894,1,54894-abyssal-summoner,9.0,[],,4,1347,1,Ivan Fomin,6,Abyssal Summoner,<b>Battlecry:</b> Summon a Demon with <b>Taunt</b> and stats equal to your hand size.,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/58a96bdd1abbceeeea9ea6ef9241bd1304bbad59a22829298fbd48e8c1fac884.png,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/ae167566b8eed0da9181fe9872e4987ae3bdb86038880f8160c3a16450dac5d3.png,But gnomes have tiny hands...,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/f39a56de1981881aed94e457737a24ab9e8172acfd4301dceab815bff78ddd53.png,[54895],"[1, 8]",False,False,,2.0,2.0,,,,,,,,,,,,warlock
72318,1,72318-abyssal-wave,9.0,[],6.0,5,1658,4,L. Lullabi & K. Turovec,6,Abyssal Wave,Deal 4 damage to all minions. Give your opponent an Abyssal Curse.,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/a174e8e0fef206861e45c35d8ed87a83b235d25471a8626af07ecbfa7f7b29fe.png,,Often followed up with a chasmic handshake.,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/43a4bbba61d02fab259b756363a3311337e7e39f99fa9fed6df4adb891f606ae.png,,,False,False,,,,,,,,,,,,,,,warlock
48040,1,48040-academic-espionage,7.0,[],,5,1127,4,Konstantin Turovec,4,Academic Espionage,Shuffle 10 cards from your opponent's class into your deck. They cost (1).,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/89b664b84f5e37175fc02bbfcda4d46caf397dc1672a5c6f03f99caef31558a3.png,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/7f97341fca6f862c44fb5945b9e6a8a64ceb74b91a9927eb2e9fe515d44d64ef.png,The tenth Pyroblast really felt like overkill.,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/50966e7b031ea2c40dcf62cfea7306cd93d799878c88830523fb0219ce7b40e8.png,,,False,False,,,,,,,,,,,,,,,rogue
121150,1,121150-acceleration-aura,,"[2, 5]",5.0,5,1957,1,Ramzy Kamen,2,Acceleration Aura,"At the start of your turn, gain a temporary Mana Crystal. Lasts turns.",https://d15f34w2p8l1cc.cloudfront.net/hearthstone/6f6a522f9e0dab6474c58f7f878c4b28c9c9332b435c4c407ea3fcccd071aac4.png,,Really makes you feel like you're running in the 90s.,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/193f5f0e8b57cfe7c191679ba30437010da6dabfb74dd4cec6f41831b7b43578.png,,,False,False,,,,,,,,,,,,,,,
60003,1,60003-ace-hunter-kreen,14.0,"[3, 14]",,4,1443,5,James Ryman,3,Ace Hunter Kreen,Your other characters are <b>Immune</b> while attacking.,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/b44e0c076cfe2f16d2a681ba87559dcb301117b4467eb1d7c87ed647b0cf7f59.png,,This grandmaster marksman loves winning tournaments and eating a bit of ice cream.,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/ad2ca7ebbbfbae7dc2681284bf59d433927a2110de40f4a3e21430a53faf41e6.png,,[17],False,False,,4.0,2.0,,,,,,,,,,,,demonhunter
110947,1,110947-ace-wayfinder,12.0,[],,4,1935,4,Anzka Nguyen,4,Ace Wayfinder,<b>Battlecry:</b> Gain two random <b>Bonus Effects</b>. The next Draenei you play gains them as well.,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/f4f0e3c5343e49dccbcf6dfa869f427d2dba463934495ca58edc6872eb9603c0.png,,She's the ace of space.,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/2507f93b657e3ab533bb9bcba6431ad6719fb74d8f71801dfb22e5393cd1c2d3.png,,[8],False,False,,4.0,4.0,2.0,,,,,,,,,,,neutral
42773,1,42773-acherus-veteran,12.0,[],,4,1001,1,Luke Mancini,1,Acherus Veteran,<b>Battlecry:</b> Give a friendly minion +1 Attack.,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/37d9e0a759daa8321ef9d98e8c60d02e57abd33d53090d1eced7e1b5a868d9bc.png,,This is my Runeblade. There are many like it but this one is mine.,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/27c367d387ece3595093dc59e590fa3a8047679423f621f053c7b0fb88aa45fe.png,,[8],False,False,[95634],1.0,2.0,11.0,,,,,,,,,,,neutral
906,1,906-acidic-swamp-ooze,12.0,[],,4,1635,2,Chris Rahn,2,Acidic Swamp Ooze,<b>Battlecry:</b> Destroy your opponent's weapon.,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/81b4a2323ee7284387a88aee9b4d85c91f8d0e750d687da800c97223228b59ea.png,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/1e8d6b8219f24c9d99ab79c4aeea2cb67a93b03d920d9d20dc99b5a8465644c8.png,Oozes love Flamenco. Don't ask.,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/b592ba9e4ddbb0c22b03b66114382e4027f063069a3472910ea7b9d68c0f9266.png,,[8],False,False,"[68441, 69548]",2.0,3.0,,,,,,,,,,,,neutral
2633,1,2633-acidmaw,3.0,[],,4,15,5,Andrew Hou,3,Acidmaw,"Whenever an enemy minion takes damage, destroy it.",https://d15f34w2p8l1cc.cloudfront.net/hearthstone/ee4bfdcae954c153b4a74135ede29d0b80788236daf4d0677e1b68c432132da8.png,,"With the help of his trusty sidekick Dreadscale, the giant jormungar Acidmaw is ready to face any knight!",https://d15f34w2p8l1cc.cloudfront.net/hearthstone/23eec5da78fcfe901b5c66c10e162ab49ccea114b4201377f14d4005b32d914b.png,[2634],,False,False,[102547],2.0,4.0,20.0,,,,,,,,,,,hunter
102547,1,102547-acidmaw,3.0,[],,4,1898,5,Andrew Hou,3,Acidmaw,"Whenever an enemy minion takes damage, destroy it.",https://d15f34w2p8l1cc.cloudfront.net/hearthstone/2e8f7c7f5575848638d5fcef19f790c9b4207202e14fc823dfcca32243143d76.png,,"With the help of his trusty sidekick Dreadscale, the giant jormungar Acidmaw is ready to face any knight!",https://d15f34w2p8l1cc.cloudfront.net/hearthstone/23eec5da78fcfe901b5c66c10e162ab49ccea114b4201377f14d4005b32d914b.png,,,False,False,[2633],2.0,4.0,20.0,,,,,,,,,,,hunter
42596,1,42596-acolyte-of-agony,6.0,[],,4,1001,1,Brom,3,Acolyte of Agony,<b>Lifesteal</b>,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/4c5f160035b8285ae6090cd5194098115062fa5ff71d09c1adb6a21f54deddd9.png,,It takes many years of practiced study in order to fully master agony.,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/5e341db43b444b9bc80d45a24c5c9acf8aa739d2924874de15860a1f31e0196f.png,,[38],False,False,[95635],3.0,3.0,11.0,,,,,,,,,,,priest
80089,1,80089-acolyte-of-death,1.0,[],,4,1776,1,Grafit Studio,3,Acolyte of Death,"After a friendly Undead dies, draw a card.",https://d15f34w2p8l1cc.cloudfront.net/hearthstone/97dbe6170ef0ae8e609b5f2887f9a88a5a8f3af99f7a82928b85ed242efca888.png,,"""I see dead people. A LOT of dead people.""",https://d15f34w2p8l1cc.cloudfront.net/hearthstone/238a315587d9dacdcdd1141c1b1e9234d0318b9d92b12ac3066760494766862d.png,,,False,False,[111318],4.0,2.0,,,,,,,,,,,,deathknight
111318,1,111318-acolyte-of-death,1.0,[],,4,1637,1,Grafit Studio,3,Acolyte of Death,"After a friendly Undead dies, draw a card.",https://d15f34w2p8l1cc.cloudfront.net/hearthstone/a3e100071e6b632e11afbb4c3d00c1abb3f0eba319ddc5be6813b20c71655506.png,,"""I see dead people. A LOT of dead people.""",https://d15f34w2p8l1cc.cloudfront.net/hearthstone/238a315587d9dacdcdd1141c1b1e9234d0318b9d92b12ac3066760494766862d.png,,,False,False,[80089],4.0,2.0,,,,,,,,,,,,deathknight
121162,1,121162-acolyte-of-infinity,9.0,[],,4,1957,1,Slawomir Maniak,3,Acolyte of Infinity,<b>Battlecry:</b> Set the Cost of a random card in your hand to INFINITY! <b>Deathrattle:</b> Change it back.,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/8a984482503209670cdb98e4e29b54d8f2e12489f6ca3d14cf3c7afee68c241b.png,,I didn't want to play that one anyway.,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/042d3aa772ccfffe4a04f893f245c56cbc4fa6f7d11d225d43fe5836bf3de62e.png,,"[8, 12]",False,False,,5.0,5.0,24.0,,,,,,,,,,,warlock
1659,1,1659-acolyte-of-pain,12.0,[],,4,3,1,Dave Kendall,3,Acolyte of Pain,"Whenever this minion takes damage, draw a card.",https://d15f34w2p8l1cc.cloudfront.net/hearthstone/aa933f8d51f7e0621cfa1befe1ffcbbc87952b41947dc7efb323b8f26b079dc8.png,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/4f6ff493f564bcd1268c93fda6438403e7e48937bba5ab737fe3eef8b45e637b.png,"He trained when he was younger to be an acolyte of joy, but things didn’t work out like he thought they would.",https://d15f34w2p8l1cc.cloudfront.net/hearthstone/83ceae1ae6bf463ad0baf1d9a2d4e05db364470500c607e943e217d24ea9096c.png,,,False,False,"[106559, 76316, 69809]",4.0,1.0,,,,,,,,,,,,neutral
76316,1,76316-acolyte-of-pain,12.0,[],,4,1637,1,Dave Kendall,3,Acolyte of Pain,"Whenever this minion takes damage, draw a card.",https://d15f34w2p8l1cc.cloudfront.net/hearthstone/feff11481f584e55197fc3cec5c6f7cc72f273e31c82d5bef80a53bf7de4f1fc.png,,"He trained when he was younger to be an acolyte of joy, but things didn’t work out like he thought they would.",https://d15f34w2p8l1cc.cloudfront.net/hearthstone/83ceae1ae6bf463ad0baf1d9a2d4e05db364470500c607e943e217d24ea9096c.png,,,False,False,"[1659, 106559, 69809]",4.0,1.0,,,,,,,,,,,,neutral
106559,1,106559-acolyte-of-pain,12.0,[],,4,1898,1,Dave Kendall,3,Acolyte of Pain,"Whenever this minion takes damage, draw a card.",https://d15f34w2p8l1cc.cloudfront.net/hearthstone/0bafc640cc80220b9c28721b730c8a945e0ba65761e4e148d37ed1b6b42e5819.png,,"He trained when he was younger to be an acolyte of joy, but things didn’t work out like he thought they would.",https://d15f34w2p8l1cc.cloudfront.net/hearthstone/83ceae1ae6bf463ad0baf1d9a2d4e05db364470500c607e943e217d24ea9096c.png,,,False,False,"[1659, 76316, 69809]",4.0,1.0,,,,,,,,,,,,neutral
51790,1,51790-acornbearer,2.0,[],,4,1130,1,Steven Prescott,1,Acornbearer,<b>Deathrattle:</b> Add two 1/1 Squirrels to your hand.,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/ea5d1a9aad15b2a2d0714d36dd22eff2c71037c100b29e33474eddb54a3da373.png,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/c3548d9c55fc3edb6a5f37e2ed0565172786e2731b8594e9273c6b8158905eb0.png,You’d be nuts to mess with the squirrel squad.,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/b7b6b05403c9c3635f006eb230f5fd8d0fb873b08ef355376b991d554699a686.png,[54315],[12],False,False,,1.0,2.0,,,,,,,,,,,,druid
61273,1,61273-acrobatics,14.0,[],,5,1466,1,James Ryman,3,Acrobatics,"Draw 2 cards. If you play both this turn, draw 2 more.",https://d15f34w2p8l1cc.cloudfront.net/hearthstone/80c95f2a729f70c2706a86fe1ccdc0f830eb86aab7d76798f0a6b14b8ab963fd.png,,He soars through the air with the greatest of fleas.,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/69f4a3c44e797c10712140a34942b52cbb70246ce7f8d39e59f1481f409bd025.png,,,False,False,,,,,,,,,,,,,,,demonhunter
54749,1,54749-activate-the-obelisk,6.0,[],,5,1158,5,J. Axer,1,Activate the Obelisk,<b>Quest:</b> Restore 15 Health. <b>Reward:</b> Obelisk's Eye.,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/c3f7b773fb822051fd0e18a55f508113a9eddcd40c3dbaf7c90452d21e0a4429.png,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/e258ff7a3db24e5b01eaa2ee5b00cfaced448aafef2dc67753f424a832ae9bf5.png,"A one-eyed, one stone, towering purple minion healer.",https://d15f34w2p8l1cc.cloudfront.net/hearthstone/1bc7702bffe167cb0a46b077038b8951fa1d053bfeb416b7e42906a73e563a6e.png,[54750],[31],False,False,,,,,,,,,,,,,,,priest
126472,1,126472-activated-golem,12.0,[],,4,1988,1,Todd Harris,4,Activated Golem,"At the end of each turn, gain <b>Reborn</b>.",https://d15f34w2p8l1cc.cloudfront.net/hearthstone/c5b992f691e66bb1c51605b3e5eda0533d46df29165cbb3f7d6c66c655101cd0.png,,First we're going to raise our right arm as high as we can. This will help activate our core.,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/993205702410b0f06b2af05143fc41a0c31b672bb2932d0708d8e3d612f3e65e.png,,[78],False,False,,5.0,4.0,,,,,,,,,,,,neutral
106709,1,106709-acupuncture,6.0,[],6.0,5,1905,1,Jason Kang,1,Acupuncture,Deal 4 damage to both heroes.,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/6df0dfb0d4ea31273f15b8cb05221419a9b2e6006693c7e0ddf24ea44ad8a2e1.png,,Bless you puncture!,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/1bb08ef523ee96ead837ff4091da323733bbf0f99b70101f64bf39c81a9315c5.png,,,False,False,,,,,,,,,,,,,,,priest
41944,1,41944-adaptation,5.0,[],,5,27,1,Hideaki Takamura,0,Adaptation,<b>Adapt</b> a friendly minion.,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/60f6d2d1425da4c0fb74aa3af7110ea4e24f4e6a0c003449aa842f42fee0c800.png,,"Pray for salvation. If that fails, pray for extra horns or bigger teeth.",https://d15f34w2p8l1cc.cloudfront.net/hearthstone/dceaf06725ae31df6951e0fe2be8d56c00e572e1ba137049f50c680eb4b0a420.png,"[41058, 41059, 41691, 41061, 41063, 41062, 41211, 41060, 41054, 41057, 41067]",[34],False,False,,,,,,,,,,,,,,,paladin
108950,1,108950-adaptive-amalgam,12.0,[],,4,1905,4,Slawomir Maniak,1,Adaptive Amalgam,<i>This has all minion types.</i> <b>Deathrattle:</b> Shuffle this into your deck. It keeps any enchantments.,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/00b3a5763ce4ce77477d91282b6f2ca5b8ac9bb387fe7ba45d5fd312a725905b.png,,We've only explored 5% of the ocean. So there's like a 95% chance this is accurate.,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/7ee68c56a4fecc186128ec87b032db4a9679fa0f6e658188be04004cb02cfe26.png,,[12],False,False,,2.0,1.0,26.0,,,,,,,,,,,neutral
38916,1,38916-addled-grizzly,2.0,[],,4,21,3,Andrew Hou,2,Addled Grizzly,"After you summon a Beast, give it +1/+1.",https://d15f34w2p8l1cc.cloudfront.net/hearthstone/ebc8b36e12c46169198bf0419e4a272767d1227a21e93550006c00b81911906f.png,,"Druids who spend too long in bear form are more susceptible to the whispers of the Old Gods. Right now they are whispering the lyrics to ""La Bamba"".",https://d15f34w2p8l1cc.cloudfront.net/hearthstone/4daec5db464da4ba8cd77d911d6deff30232d6e039657f87e4fdbde21b4f0797.png,,,False,False,[102529],3.0,2.0,20.0,,,,,,,,,,,druid
102529,1,102529-addled-grizzly,2.0,[],,4,1898,3,Andrew Hou,2,Addled Grizzly,"After you summon a Beast, give it +1/+1.",https://d15f34w2p8l1cc.cloudfront.net/hearthstone/78f8d8448ddeda5a82c6f4a459af411f216a933af4c5c2d9b34288187a47797f.png,,"Druids who spend too long in bear form are more susceptible to the whispers of the Old Gods. Right now they are whispering the lyrics to ""La Bamba"".",https://d15f34w2p8l1cc.cloudfront.net/hearthstone/4daec5db464da4ba8cd77d911d6deff30232d6e039657f87e4fdbde21b4f0797.png,,,False,False,[38916],3.0,2.0,20.0,,,,,,,,,,,druid
59705,1,59705-adorable-infestation,3.0,"[2, 3]",,5,1443,1,Ivan Fomin,1,Adorable Infestation,Give a minion +1/+1. Summon a 1/1 Cub. Add a Cub to your hand.,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/b4a94fa220f0a59dfc197c1f5f20cc90e8b405da006e9954e81984ccf9e35880.png,,Some cards are strong by sheer power; others draw strength from love.,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/bb54d513c99e58788d3b551fa231d691746f1625d638fe4d8e3da1f15b27c834.png,[59706],,False,False,,,,,,,,,,,,,,,hunter
106584,1,106584-adrenaline-fiend,14.0,[],,4,1905,1,Alex Horley Orlandelli,2,Adrenaline Fiend,"After a friendly Pirate attacks, give your hero +1 Attack this turn.",https://d15f34w2p8l1cc.cloudfront.net/hearthstone/e26286e3e60cfdae195545014f1178a42e64ece63702388bf7afa53286796c60.png,,"Puts the ""devil"" in daredevil.",https://d15f34w2p8l1cc.cloudfront.net/hearthstone/5548e689214f95154253c8b9ccc0f12f8ef2a1451d035f1fef5195ebc209abae.png,,,False,False,,2.0,2.0,15.0,[23],,,,,,,,,,demonhunter
