id,name,collectible,classId,className,multiClassIds,multiClassNames,cardTypeId,cardTypeName,cardSetId,setName,rarityId,rarityName,manaCost,attack,health,armor,minionTypeId,minionTypeName,keywordIds,keywordNames,spellSchoolId,spellSchoolName,text
111318,Acolyte of Death,1,1.0,deathknight,[],[],4,minion,1637,core,1,common,3,2,4,0,,none,,[],,none,"After a friendly Undead dies, draw a card."
121162,Acolyte of Infinity,1,9.0,warlock,[],[],4,minion,1957,across-the-timeways,1,common,3,5,5,0,24.0,dragon,"[8, 12]","['Battlecry', 'Deathrattle']",,none,Battlecry: Set the Cost of a random card in your hand to INFINITY! Deathrattle: Change it back.
1659,Acolyte of Pain,1,12.0,neutral,[],[],4,minion,3,classic,1,common,3,1,4,0,,none,,[],,none,"Whenever this minion takes damage, draw a card."
76316,Acolyte of Pain,1,12.0,neutral,[],[],4,minion,1637,core,1,common,3,1,4,0,,none,,[],,none,"Whenever this minion takes damage, draw a card."
106559,Acolyte of Pain,1,12.0,neutral,[],[],4,minion,1898,caverns-of-time,1,common,3,1,4,0,,none,,[],,none,"Whenever this minion takes damage, draw a card."
51790,Acornbearer,1,2.0,druid,[],[],4,minion,1130,rise-of-shadows,1,common,1,2,1,0,,none,[12],['Deathrattle'],,none,Deathrattle: Add two 1/1 Squirrels to your hand.
61273,Acrobatics,1,14.0,demonhunter,[],[],5,spell,1466,madness-at-the-darkmoon-faire,1,common,3,0,0,0,,none,,[],,none,"Draw 2 cards. If you play both this turn, draw 2 more."
54749,Activate the Obelisk,1,6.0,priest,[],[],5,spell,1158,saviors-of-uldum,5,legendary,1,0,0,0,,none,[31],['Quest'],,none,Quest: Restore 15 Health. Reward: Obelisk's Eye.
126472,Activated Golem,1,12.0,neutral,[],[],4,minion,1988,escape-from-violet-hold,1,common,4,4,5,0,,none,[78],['Reborn'],,none,"At the end of each turn, gain Reborn."
106709,Acupuncture,1,6.0,priest,[],[],5,spell,1905,perils-in-paradise,1,common,1,0,0,0,,none,,[],6.0,shadow,Deal 4 damage to both heroes.
41944,Adaptation,1,5.0,paladin,[],[],5,spell,27,journey-to-ungoro,1,common,0,0,0,0,,none,[34],['Adapt'],,none,Adapt a friendly minion.
108950,Adaptive Amalgam,1,12.0,neutral,[],[],4,minion,1905,perils-in-paradise,4,epic,1,1,2,0,26.0,all,[12],['Deathrattle'],,none,This has all minion types. Deathrattle: Shuffle this into your deck. It keeps any enchantments.
38916,Addled Grizzly,1,2.0,druid,[],[],4,minion,21,whispers-of-the-old-gods,3,rare,2,2,3,0,20.0,beast,,[],,none,"After you summon a Beast, give it +1/+1."
102529,Addled Grizzly,1,2.0,druid,[],[],4,minion,1898,caverns-of-time,3,rare,2,2,3,0,20.0,beast,,[],,none,"After you summon a Beast, give it +1/+1."
59705,Adorable Infestation,1,3.0,hunter,"[2, 3]",[],5,spell,1443,scholomance-academy,1,common,1,0,0,0,,none,,[],,none,Give a minion +1/+1. Summon a 1/1 Cub. Add a Cub to your hand.
106584,Adrenaline Fiend,1,14.0,demonhunter,[],[],4,minion,1905,perils-in-paradise,1,common,2,2,2,0,15.0,demon,,[],,none,"After a friendly Pirate attacks, give your hero +1 Attack this turn."
116675,Aegis of Light,1,5.0,paladin,[],[],5,spell,1946,into-the-emerald-dream,3,rare,2,0,0,0,,none,"[1, 318]","['Taunt', 'Imbue']",5.0,holy,Summon a random 2-Cost minion and give it Taunt. Imbue your Hero Power.
113180,"Aegwynn, the Guardian",1,4.0,mage,[],[],4,minion,1635,legacy,5,legendary,5,5,5,0,,none,"[2, 12]","['Spell Damage', 'Deathrattle']",,none,Spell Damage +2 Deathrattle: The next minion you draw inherits these powers.
56089,Aeon Reaver,1,6.0,priest,[],[],4,minion,1403,galakronds-awakening,1,common,6,4,4,0,24.0,dragon,[8],['Battlecry'],,none,Battlecry: Deal damage to a minion equal to its Attack.
120922,Aeon Rend,1,14.0,demonhunter,[],[],5,spell,1957,across-the-timeways,1,common,4,0,0,0,,none,[344],['Rewind'],7.0,fel,Rewind Deal 4 damage to two random enemies.
119312,Aeon Wizard,1,12.0,neutral,[],[],4,minion,1957,across-the-timeways,1,common,5,3,5,0,,none,"[8, 344]","['Battlecry', 'Rewind']",,none,Rewind Battlecry: Get 2 random spells from your class.
55036,Aeroponics,1,2.0,druid,[],[],5,spell,1347,descent-of-dragons,3,rare,5,0,0,0,,none,,[],4.0,nature,Draw 2 cards. Costs (2) less for each Treant you control.
101685,Aerosoilizer,1,2.0,druid,[],[],4,minion,1858,titans,1,common,3,2,2,0,,none,"[8, 12]","['Battlecry', 'Deathrattle']",,none,Battlecry and Deathrattle: Summon a 2/2 Treant.
113700,Aessina,1,4.0,mage,[],[],4,minion,1946,into-the-emerald-dream,5,legendary,8,6,8,0,11.0,undead,[8],['Battlecry'],,none,"Battlecry: If 20 friendly minions have died this game, deal 20 damage split among all enemies. ( left!) (Ready!)"
114243,Afflicted Devastator,1,10.0,warrior,[],[],4,minion,1946,into-the-emerald-dream,4,epic,4,6,6,0,24.0,dragon,"[8, 12]","['Battlecry', 'Deathrattle']",,none,Battlecry: Deal 3 damage to all other friendly minions. Deathrattle: Deal 3 damage to all enemy minions.
79778,Afterlife Attendant,1,12.0,neutral,[],[],4,minion,1691,murder-at-castle-nathria,3,rare,3,3,4,0,,none,[238],['Infuse'],,none,Your Infuse cards also Infuse while in your deck.
102175,Aftershocks,1,10.0,warrior,"[8, 10]",[],5,spell,1892,showdown-in-the-badlands,3,rare,4,0,0,0,,none,,[],4.0,nature,"Deal 1 damage to all minions, three times. Costs (2) less if you cast a spell last turn."
63347,Against All Odds,1,6.0,priest,[],[],5,spell,1525,forged-in-the-barrens,4,epic,5,0,0,0,,none,,[],5.0,holy,Destroy ALL odd-Attack minions.
115203,Agamaggan,1,9.0,warlock,[],[],4,minion,1946,into-the-emerald-dream,5,legendary,10,8,9,0,20.0,beast,[8],['Battlecry'],,none,Battlecry: The next card you play costs your OPPONENT'S Health instead of Mana (up to 10).
110754,Agency Espionage,1,7.0,rogue,[],[],5,spell,1905,perils-in-paradise,3,rare,4,0,0,0,,none,,[],,none,Shuffle a card from each other class into your deck. They cost (1). Draw one.
123060,Agent of the Old Ones,1,7.0,rogue,[],[],4,minion,1980,cataclysm,1,common,1,2,1,0,15.0,demon,[8],['Battlecry'],,none,Battlecry: Choose a card in your hand to transform into a Coin.
97495,"Aggramar, the Avenger",1,3.0,hunter,[],[],4,minion,1858,titans,5,legendary,6,3,7,0,,none,"[8, 270]","['Battlecry', 'Titan']",,none,Titan Battlecry: Equip a 3/3 Taeshalach.
64631,Aimed Shot,1,3.0,hunter,[],[],5,spell,1578,united-in-stormwind,1,common,3,0,0,0,,none,,[],,none,Deal 3 damage. Your next Hero Power deals 2 more damage.
41152,Air Elemental,1,8.0,shaman,[],[],4,minion,27,journey-to-ungoro,1,common,1,3,1,0,18.0,elemental,[265],['Elusive'],,none,Elusive
91986,Air Guitarist,1,12.0,neutral,[],[],4,minion,1809,festival-of-legends,1,common,1,1,1,0,,none,[8],['Battlecry'],,none,Battlecry: Give your weapon +1 Durability.
56086,Air Raid,1,5.0,paladin,[],[],5,spell,1403,galakronds-awakening,3,rare,2,0,0,0,,none,"[1, 76]","['Taunt', 'Twinspell']",,none,Twinspell Summon two Silver Hand Recruits with Taunt.
122952,Air Support,1,8.0,shaman,[],[],4,minion,1980,cataclysm,1,common,5,5,5,0,,none,"[8, 77]","['Battlecry', 'Mega-Windfury']",,none,Battlecry: Give a friendly minion Mega-Windfury. It can't attack heroes.
110880,Airlock Breach,1,1.0,deathknight,[],[],5,spell,1935,the-great-dark-beyond,3,rare,6,0,0,0,,none,"[1, 247]","['Taunt', 'Corpse']",,none,Summon a 5/5 Undead with Taunt and give your hero +5 Health. Spend 5 Corpses to do it again.
50074,"Akali, the Rhino",1,10.0,warrior,[],[],4,minion,1129,rastakhans-rumble,5,legendary,8,5,5,0,20.0,beast,"[53, 61]","['Rush', 'Overkill']",,none,Rush Overkill: Draw a Rush minion from your deck. Give it +5/+5.
56530,Akama,1,7.0,rogue,[],[],4,minion,1414,ashes-of-outland,5,legendary,3,3,4,0,2.0,draenei,"[6, 12]","['Stealth', 'Deathrattle']",,none,Stealth Deathrattle: Shuffle 'Akama Prime' into your deck.
32,Al'Akir the Windlord,1,8.0,shaman,[],[],4,minion,3,classic,5,legendary,8,3,6,0,18.0,elemental,"[1, 3, 4, 11]","['Taunt', 'Divine Shield', 'Charge', 'Windfury']",,none,"Charge, Divine Shield, Taunt, Windfury"
125442,"Al'Akir, Lord of Storms",1,8.0,shaman,[],[],4,minion,1980,cataclysm,5,legendary,8,2,8,0,18.0,elemental,"[8, 11, 53, 231, 378]","['Battlecry', 'Windfury', 'Rush', 'Colossal +X', 'Herald']",,none,"Colossal +2, Rush, Windfury Battlecry: Get 2 minions with Cost equal to this minion's Attack. They cost (1)."
102634,"Al'Akir, the Winds of Time",1,8.0,shaman,[],[],3,hero,1898,caverns-of-time,5,legendary,7,0,30,8,,none,"[1, 3, 4, 8, 11]","['Taunt', 'Divine Shield', 'Charge', 'Battlecry', 'Windfury']",,none,"Battlecry: Draw a Charge, Divine Shield, Taunt, and Windfury minion."
57195,Al'ar,1,12.0,neutral,[],[],4,minion,1414,ashes-of-outland,5,legendary,5,7,3,0,18.0,elemental,[12],['Deathrattle'],,none,Deathrattle: Summon a 0/3 Ashes of Al'ar that resurrects this minion on your next turn.
115928,Alara'shi,1,14.0,demonhunter,[],[],4,minion,1946,into-the-emerald-dream,5,legendary,5,5,5,0,20.0,beast,[8],['Battlecry'],,none,Battlecry: Transform minions in your hand into random Demons. (They keep their original stats and Cost.)
1658,Alarm-o-Bot,1,12.0,neutral,[],[],4,minion,3,classic,3,rare,3,0,3,0,17.0,mech,,[],,none,"At the start of your turn, swap this minion with a random one in your hand."
125986,Alarm-o-Matic,1,12.0,neutral,[],[],4,minion,1988,escape-from-violet-hold,3,rare,3,0,3,0,17.0,mech,,[],,none,"At the start of your turn, swap this minion with a random one in your opponent's hand."
101009,Alarmed Securitybot,1,5.0,paladin,[],[],4,minion,1858,titans,3,rare,4,4,3,0,17.0,mech,[12],['Deathrattle'],,none,"Deathrattle: Draw another minion. Set its Attack, Health, and Cost to 5."
56445,Aldor Attendant,1,5.0,paladin,[],[],4,minion,1414,ashes-of-outland,1,common,1,1,3,0,2.0,draenei,[8],['Battlecry'],,none,Battlecry: Reduce the Cost of your Librams by (1) this game.
1167,Aldor Peacekeeper,1,5.0,paladin,[],[],4,minion,3,classic,3,rare,3,3,3,0,2.0,draenei,[8],['Battlecry'],,none,Battlecry: Change an enemy minion's Attack to 1.
56556,Aldor Truthseeker,1,5.0,paladin,[],[],4,minion,1414,ashes-of-outland,3,rare,5,4,6,0,2.0,draenei,"[1, 8]","['Taunt', 'Battlecry']",,none,Taunt. Battlecry: Reduce the Cost of your Librams by (2) this game.
56583,Aldrachi Warblades,1,14.0,demonhunter,[],[],7,weapon,1635,legacy,2,free,3,2,2,0,,none,[38],['Lifesteal'],,none,Lifesteal
69507,Aldrachi Warblades,1,14.0,demonhunter,[],[],7,weapon,1637,core,1,common,3,2,2,0,,none,[38],['Lifesteal'],,none,Lifesteal
80644,Alexandros Mograine,1,1.0,deathknight,[],[],4,minion,1776,march-of-the-lich-king,5,legendary,7,7,7,0,11.0,undead,[8],['Battlecry'],,none,"Battlecry: For the rest of the game, deal 3 damage to your opponent at the end of your turns."
127536,Alexandros Mograine,1,1.0,deathknight,[],[],4,minion,1637,core,5,legendary,7,7,7,0,11.0,undead,[8],['Battlecry'],,none,"Battlecry: For the rest of the game, deal 3 damage to your opponent at the end of your turns."
581,Alexstrasza,1,12.0,neutral,[],[],4,minion,3,classic,5,legendary,9,8,8,0,24.0,dragon,[8],['Battlecry'],,none,Battlecry: Set a hero's remaining Health to 15.
113183,Alexstrasza the Life-Binder,1,12.0,neutral,[],[],4,minion,1635,legacy,5,legendary,9,8,8,0,24.0,dragon,[8],['Battlecry'],,none,"Battlecry: Choose a character. If it's friendly, restore 8 Health. If it's an enemy, deal 8 damage."
2758,Alexstrasza's Champion,1,10.0,warrior,[],[],4,minion,15,the-grand-tournament,3,rare,2,2,3,0,,none,"[4, 8]","['Charge', 'Battlecry']",,none,"Battlecry: If you're holding a Dragon, gain +1 Attack and Charge."
123146,"Alexstrasza, Guardian of Life",1,6.0,priest,[],[],4,minion,1980,cataclysm,5,legendary,7,8,8,0,24.0,dragon,[8],['Battlecry'],,none,"Battlecry: Set your remaining Health to 15. When you reach full Health, deal 15 damage to your opponent."
97617,Algalon the Observer,1,12.0,neutral,[],[],4,minion,1858,titans,5,legendary,4,4,4,0,,none,[8],['Battlecry'],,none,Battlecry: Replace your Hero Power with Algalon's Vision.
119632,Algeth'ar Instructor,1,4.0,mage,[],[],4,minion,1957,across-the-timeways,1,common,5,4,7,0,24.0,dragon,[2],['Spell Damage'],,none,Spell Damage +2
112045,Alien Encounters,1,3.0,hunter,[],[],5,spell,1935,the-great-dark-beyond,3,rare,5,0,0,0,,none,"[1, 21]","['Taunt', 'Discover']",,none,Summon two 2/5 Beasts with Taunt. Costs (1) less for each card you Discovered this game.
79593,All Fel Breaks Loose,1,14.0,demonhunter,[],[],5,spell,1691,murder-at-castle-nathria,1,common,5,0,0,0,,none,[238],['Infuse'],7.0,fel,Summon a friendly Demon that died this game. Infuse ( Demons): Summon three instead.
106615,All Terrain Voidhound,1,14.0,demonhunter,[],[],4,minion,1905,perils-in-paradise,1,common,7,5,8,0,15.0,demon,,[],,none,"Whenever this attacks, give your hero +5 Attack this turn."
106382,All You Can Eat,1,10.0,warrior,[],[],5,spell,1905,perils-in-paradise,3,rare,3,0,0,0,,none,,[],,none,Draw three minions of different minion types.
2826,Alleria Windrunner,1,3.0,hunter,[],[],3,hero,17,classic,4,epic,0,0,30,0,,none,,[],,none,
40574,Alley Armorsmith,1,10.0,warrior,[],[],4,minion,25,mean-streets-of-gadgetzan,3,rare,5,3,7,0,,none,[1],['Taunt'],,none,"Taunt Whenever this minion deals damage, gain that much Armor."
103242,Alley Armorsmith,1,10.0,warrior,[],[],4,minion,1898,caverns-of-time,3,rare,5,3,7,0,,none,[1],['Taunt'],,none,"Taunt Whenever this minion deals damage, gain that much Armor."
40426,Alleycat,1,3.0,hunter,[],[],4,minion,25,mean-streets-of-gadgetzan,1,common,1,1,1,0,20.0,beast,[8],['Battlecry'],,none,Battlecry: Summon a 1/1 Cat.
64368,Alliance Bannerman,1,5.0,paladin,[],[],4,minion,1578,united-in-stormwind,1,common,3,2,2,0,,none,[8],['Battlecry'],,none,Battlecry: Draw a minion. Give minions in your hand +1/+1.
110785,Alloy Advisor,1,10.0,warrior,[],[],4,minion,1905,perils-in-paradise,1,common,4,2,6,0,17.0,mech,[1],['Taunt'],,none,"Taunt Whenever this takes damage, gain 3 Armor."
63211,Altar of Fire,1,9.0,warlock,[],[],5,spell,1525,forged-in-the-barrens,4,epic,1,0,0,0,,none,,[],2.0,fire,Destroy the top 3 cards of each deck.
119633,Alter Time,1,4.0,mage,[],[],5,spell,1957,across-the-timeways,3,rare,4,0,0,0,,none,[21],['Discover'],1.0,arcane,Discover two Arcane spells from the past. They cost (2) less.
92222,Altered Chord,1,8.0,shaman,[],[],5,spell,1809,festival-of-legends,3,rare,5,0,0,0,,none,"[14, 38]","['Overload: X', 'Lifesteal']",4.0,nature,Lifesteal Deal 6 damage to a minion. Costs (3) less if you're Overloaded.
122833,Alternate Reality,1,2.0,druid,[],[],5,spell,1957,across-the-timeways,4,epic,2,0,0,0,,none,,[],,none,Replace your hand and deck with random Choose One cards from the past. They cost (1) less.
56652,Altruis the Outcast,1,14.0,demonhunter,[],[],4,minion,1463,demonhunter-initiate,5,legendary,4,4,2,0,,none,,[],,none,"After you play the left- or right-most card in your hand, deal 1 damage to all enemies."
43426,Aluneth,1,4.0,mage,[],[],7,weapon,1004,kobolds-and-catacombs,5,legendary,6,0,3,0,,none,,[],,none,"At the end of your turn, draw 3 cards."
97049,Always a Bigger Jormungar,1,3.0,hunter,[],[],5,spell,1858,titans,3,rare,2,0,0,0,,none,,[],,none,"Give a minion +2 Attack and ""Excess damage dealt by attacks hits the enemy hero."""
38782,Am'gam Rager,1,12.0,neutral,[],[],4,minion,21,whispers-of-the-old-gods,1,common,3,1,5,0,11.0,undead,,[],,none,
73906,Amalgam of the Deep,1,12.0,neutral,[],[],4,minion,1658,voyage-to-the-sunken-city,4,epic,2,2,3,0,26.0,all,"[8, 21]","['Battlecry', 'Discover']",,none,Battlecry: Choose a friendly minion. Discover a minion of the same minion type.
97103,Aman'Thul,1,6.0,priest,[],[],4,minion,1858,titans,5,legendary,7,3,10,0,,none,"[21, 270]","['Discover', 'Titan']",,none,"Titan After this uses an ability, Discover any Legendary minion from any class."
790,Amani Berserker,1,12.0,neutral,[],[],4,minion,3,classic,1,common,2,2,3,0,,none,,[],,none,Has +3 Attack while damaged.
50776,Amani War Bear,1,12.0,neutral,[],[],4,minion,1129,rastakhans-rumble,1,common,7,5,7,0,20.0,beast,"[1, 53]","['Taunt', 'Rush']",,none,Rush Taunt
104694,Amateur Puppeteer,1,1.0,deathknight,[],[],4,minion,1897,whizbangs-workshop,3,rare,5,2,6,0,11.0,undead,"[1, 12, 294]","['Taunt', 'Deathrattle', 'Miniaturize']",,none,"Miniaturize, Taunt Deathrattle: Give Undead in your hand +2/+2."
74907,Ambassador Faelin,1,12.0,neutral,[],[],4,minion,1658,voyage-to-the-sunken-city,5,legendary,4,4,5,0,,none,"[8, 231]","['Battlecry', 'Colossal +X']",,none,Battlecry: Put 3 Colossal minions on the bottom of your deck.
120475,Amber Priestess,1,6.0,priest,[],[],4,minion,1957,across-the-timeways,1,common,2,1,4,0,,none,"[1, 8]","['Taunt', 'Battlecry']",,none,Taunt Battlecry: Restore Health to a character equal to this minion's Health.
120951,Amber Warden,1,12.0,neutral,[],[],4,minion,1957,across-the-timeways,4,epic,8,4,12,0,24.0,dragon,"[1, 12]","['Taunt', 'Deathrattle']",,none,Taunt Deathrattle: Summon a random minion from the past.
55048,Amber Watcher,1,5.0,paladin,[],[],4,minion,1347,descent-of-dragons,1,common,5,4,6,0,24.0,dragon,[8],['Battlecry'],,none,Battlecry: Restore 8 Health.
84387,Amber Whelp,1,12.0,neutral,[],[],4,minion,1776,march-of-the-lich-king,1,common,3,3,3,0,24.0,dragon,[8],['Battlecry'],,none,"Battlecry: If you're holding a Dragon, deal 3 damage."
97579,Ambient Lightspawn,1,6.0,priest,[],[],4,minion,1809,festival-of-legends,1,common,4,3,4,0,18.0,elemental,"[255, 256]","['Finale', 'Overheal']",,none,Finale and Overheal: Give another random friendly minion +2/+2.
56524,Ambush,1,7.0,rogue,[],[],5,spell,1414,ashes-of-outland,3,rare,2,0,0,0,,none,"[5, 32]","['Secret', 'Poisonous']",,none,"Secret: After your opponent plays a minion, summon a 2/3 Ambusher with Poisonous."
118580,Ambush Predators,1,7.0,rogue,[],[],5,spell,1952,the-lost-city-of-ungoro,3,rare,3,0,0,0,,none,"[6, 32, 351]","['Stealth', 'Poisonous', 'Kindred']",6.0,shadow,Summon a 1/1 Spitter with Stealth and Poisonous. Kindred: Do it again.
115631,Amirdrassil,1,2.0,druid,[],[],39,location,1946,into-the-emerald-dream,5,legendary,5,0,3,0,,none,,[],,none,"Summon a -Cost minion. Gain Armor. Draw (card, cards). Refresh Mana |4(Crystal, Crystals). (Improves each use!)"
98061,"Amitus, the Peacekeeper",1,5.0,paladin,[],[],4,minion,1858,titans,5,legendary,7,1,8,0,,none,"[1, 270]","['Taunt', 'Titan']",,none,Titan Taunt. Your minions can't take more than 2 damage at a time.
84357,Amorphous Slime,1,9.0,warlock,[],[],4,minion,1776,march-of-the-lich-king,4,epic,5,5,3,0,,none,"[8, 12]","['Battlecry', 'Deathrattle']",,none,Battlecry: Discard a random Undead. Deathrattle: Summon a copy of it.
115052,Amphibian's Spirit,1,3.0,hunter,[],[],5,spell,1946,into-the-emerald-dream,4,epic,3,0,0,0,,none,[12],['Deathrattle'],4.0,nature,"Give a minion +2/+2 and ""Deathrattle: Give a friendly minion +2/+2 and this Deathrattle."""
102061,Amphibious Elixir,1,8.0,shaman,[],[],5,spell,1892,showdown-in-the-badlands,3,rare,2,0,0,0,,none,[21],['Discover'],4.0,nature,Restore 5 Health. Discover a spell.
91076,Amplified Elekk,1,12.0,neutral,[],[],4,minion,1809,festival-of-legends,1,common,10,6,12,0,20.0,beast,"[1, 12]","['Taunt', 'Deathrattle']",,none,Taunt Deathrattle: Deal 3 damage to all enemy minions.
67873,Amplified Snowflurry,1,4.0,mage,[],[],4,minion,1626,fractured-in-alterac-valley,1,common,2,2,3,0,18.0,elemental,"[8, 10]","['Battlecry', 'Freeze']",,none,Battlecry: Your next Hero Power costs (0) and Freezes the target.
65676,Amulet of Undying,1,6.0,priest,[],[],5,spell,1578,united-in-stormwind,1,common,3,0,0,0,,none,"[12, 97]","['Deathrattle', 'Tradeable']",6.0,shadow,"Tradeable Resurrect friendly Deathrattle (minion, minions). (Upgrades when Traded!)"
84399,Anachronos,1,5.0,paladin,[],[],4,minion,1776,march-of-the-lich-king,5,legendary,7,8,8,0,24.0,dragon,[8],['Battlecry'],,none,Battlecry: Send all other minions 2 turns into the future.
1998,Ancestor's Call,1,8.0,shaman,[],[],5,spell,13,goblins-vs-gnomes,4,epic,4,0,0,0,,none,,[],,none,Put a random minion from each player's hand into the battlefield.
53408,Ancestral Guardian,1,5.0,paladin,[],[],4,minion,1158,saviors-of-uldum,1,common,4,4,2,0,11.0,undead,"[38, 78]","['Lifesteal', 'Reborn']",,none,Lifesteal Reborn
149,Ancestral Healing,1,8.0,shaman,[],[],5,spell,1635,legacy,2,free,0,0,0,0,,none,[1],['Taunt'],4.0,nature,Restore a minion to full Health and give it Taunt.
